FACILITY NAME,Full Address,Street #,Street Name,Suite,City,Province,Postal Code,Ward,Performance,Exhibition / Visual Arts,Screen Based,Library,Multipurpose,Heritage,OWNERSHIP,,,
Rehearsal Factory,"330 Geary Avenue, Studio A, Toronto, ON, M6H 2C7",330,Geary Avenue,Studio A,Toronto,ON,M6H 2C7,17,1,,,,,,Owned by others,,,
Lansdowne Studio,"940 Lansdowne Avenue, #9, Toronto, ON, M6H 4H2",940,Lansdowne Avenue,#9,Toronto,ON,M6H 4H2,17,1,1,1,,,,Owned by others,,,
Earlscourt Park,"1200 Lansdowne Avenue, Toronto, ON, M6H 1C5",1200,Lansdowne Avenue,,Toronto,ON,M6H 1C5,17,1,,,,,,City Owned,,,
Portuguese Pioneer Gallery ,"960 St. Clair Avenue West, Toronto, ON, M6E 1A1
",960,St. Clair Avenue West,,Toronto,ON,"M6E 1A1
",17,,1,,,,,Owned by others,,,
Axe Capoeira,"1069 St. Clair Avenue West, Toronto, ON, M6E 1A6",1069,St. Clair Avenue West,,Toronto,ON,M6E 1A6,17,1,,,,,,Owned by others,,,
Ontario Ballet Theatre,"1133 St. Clair Avenue West, Toronto, ON, M6E 1B1",1133,St. Clair Avenue West,,Toronto,ON,M6E 1B1,17,1,,,,,,Owned by others,,,
J.J. Piccininni Community Recreation Centre,"1369 St. Clair Avenue West, Toronto, ON, M6E 1C5",1369,St. Clair Avenue West,,Toronto,ON,M6E 1C5,17,,,,,1,,City Owned,,,
Articsok Gallery ,"1697 St Clair Avenue West, Toronto, ON, M6N 1J2 ",1697,St Clair Avenue West,,Toronto,ON,M6N 1J2 ,17,,1,,,,,Owned by others,,,
St. Clair/Silverthorn Branch (TPL),"1748 St. Clair Avenue West, Toronto, ON, M6N 1J4",1748,St. Clair Avenue West,,Toronto,ON,M6N 1J4,17,1,,,1,,,City operated,,,
RE:Style Studio,"344 Westmoreland Avenue North, Toronto, ON, M6H 3A7",344,Westmoreland Avenue North,,Toronto,ON,M6H 3A7,17,1,1,,,,,Owned by others,,,
Aluna Theatre,"1 Wiltshire Avenue, Unit 124, Toronto, ON, M6N 2V7
",1,Wiltshire Avenue,Unit 124,Toronto,ON,"M6N 2V7
",17,1,,,,1,,Owned by others,,,
Artscape Triangle Gallery,"38 Abell Street, Toronto, ON, M6J 0A2",38,Abell Street,,Toronto,ON,M6J 0A2,18,,1,,,,,Owned by others,,,
The Centre for the Arts,"14 Afton Avenue, Toronto, ON, M6J 1R7",14,Afton Avenue,,Toronto,ON,M6J 1R7,18,,,1,,,,Owned by others,,,
St. Anthony's Church,"1041 Bloor Street West, Toronto, ON, M6H 1M4",1041,Bloor Street West,,Toronto,ON,M6H 1M4,18,,,,,1,,Owned by others,,,
Bloor/Gladstone Branch (TPL),"1101 Bloor Street West, Toronto, ON, M6H 1M7",1101,Bloor Street West,,Toronto,ON,M6H 1M7,18,1,,,1,1,1,City Operated,,,
Dovercourt Baptist Church,"1140 Bloor Street West, Toronto, ON, M6H 3M8",1140,Bloor Street West,,Toronto,ON,M6H 3M8,18,,,,,1,,Owned by others,,,
Gallery 1200,"1200 Bloor Street West, Toronto, ON, M6H 1N1",1200,Bloor Street West,,Toronto,ON,M6H 1N1,18,,1,,,,,Owned by others,,,
Franco Dance Sudios,"1222 Bloor Street West, A, Toronto, ON, M6H 1N3",1222,Bloor Street West,A,Toronto,ON,M6H 1N3,18,1,,,,,,Owned by others,,,
Holy Oak Cafe,"1241 Bloor Street West, Toronto, ON, M6H 1N6",1241,Bloor Street West,,Toronto,ON,M6H 1N6,18,1,,,,,,Owned by others,,,
Toronto Free Gallery,"1277 Bloor Street West, Toronto, ON, M6H 1N7",1277,Bloor Street West,,Toronto,ON,M6H 1N7,18,1,1,,,,,Owned by others,,,
Junction Triangle Clubhouse (Dovercourt Boys & Girls Club),"1379 Bloor Street West, Toronto, ON, M6H 1P3",1379,Bloor Street West,,Toronto,ON,M6H 1P3,18,,,,,1,,Owned by others,,,
Artists 25 Studio,"267 Brock Avenue, Studio 104, Toronto, ON, M6K 2M3",267,Brock Avenue,Studio 104,Toronto,ON,M6K 2M3,18,,1,,,,,Owned by others,,,
Campbell Avenue Park/Playground,"225 Campbell Avenue, Toronto, ON, M6P 3V4",225,Campbell Avenue,,Toronto,ON,M6P 3V4,18,,,,,1,,City Owned,,,
Swizzle Gallery,"1162 College Street, Toronto, ON, M6H 1B5",1162,College Street,,Toronto,ON,M6H 1B5,18,,1,,,,,Owned by others,,,
The Theatre Elusive,"1078 Dovercourt Road, Toronto, ON, M6H 1Z5",1078,Dovercourt Road,,Toronto,ON,M6H 1Z5,18,1,,,,,,Owned by others,,,
Janak Khendry Studio,"436 Dufferin Street, Toronto, ON, M6K 2A3",436,Dufferin Street,,Toronto,ON,M6K 2A3,18,1,1,,,,,Owned by others,,,
Akin Collective,"444 Dufferin Street, Toronto, ON, M6K 2A3",444,Dufferin Street,,Toronto,ON,M6K 2A3,18,,1,,,1,,Owned by others,,,
Dufferin Grove Park (Fieldhouse),"875 Dufferin Street, Toronto, ON, M6H 4J3",875,Dufferin Street,,Toronto,ON,M6H 4J3,18,1,,,,1,,City Owned,,,
Wallace Emmerson Community Centre,"1260 Dufferin Street, Toronto, ON, M6H 4C3",1260,Dufferin Street,,Toronto,ON,M6H 4C3,18,1,,,,1,,City Owned,,,
Loop Gallery,"1273 Dundas Street West, Toronto, ON, M6J 1X8",1273,Dundas Street West,,Toronto,ON,M6J 1X8,18,,1,,,,,Owned by others,,,
The Department,"1389 Dundas Street West, Toronto, ON, M6J 1Y4",1389,Dundas Street West,,Toronto,ON,M6J 1Y4,18,,1,,,,,Owned by others,,,
Jessica Bradley Art Projects,"1450 Dundas Street West, Toronto, ON, M6J 3L5",1450,Dundas Street West,,Toronto,ON,M6J 3L5,18,,1,,,,,Owned by others,,,
Lula Lounge,"1585 Dundas Street West, Toronto, ON, M6K 1T9",1585,Dundas Street West,,Toronto,ON,M6K 1T9,18,1,1,,,,,Owned by others,,,
Naco Gallery Cafe,"1691 Dundas Street West, Toronto, ON, M6K 1V2",1691,Dundas Street West,,Toronto,ON,M6K 1V2,18,,1,,,,,Owned by others,,,
Liaison of Independent Filmmakers of Toronton (LIFT),"1137 Dupont Street, Toronto, ON, M6H 2A3",1137,Dupont Street,,Toronto,ON,M6H 2A3,18,1,1,1,,,,Owned by others,,,
Dupont Projects,"1444 Dupont Street, Unit 31, Toronto, ON, M6P 4H3",1444,Dupont Street,Unit 31,Toronto,ON,M6P 4H3,18,1,,,,,,Owned by others,,,
Louise Lipman Contemporary Art,"1581 Dupont Street, Toronto, ON, M6P 3S5",1581,Dupont Street,,Toronto,ON,M6P 3S5,18,,1,,,,,Owned by others,,,
Perth / Dupont Branch (TPL),"1589 Dupont Street, Toronto, ON, M6P 3S5",1589,Dupont Street,,Toronto,ON,M6P 3S5,18,,,,1,1,,City Operated,,,
Open Door Designs,"1597 Dupont Street, Toronto, ON, M6P 3S8",1597,Dupont Street,,Toronto,ON,M6P 3S8,18,1,,,,,,Owned by others,,,
"Index G Artshops (Chinese Contemporary Xchange, Lee Ka-Sing Gallery)","50 Gladstone Avenue, Toronto, ON, M6J 3K6",50,Gladstone Avenue,,Toronto,ON,M6J 3K6,18,,1,,,,,Owned by others,,,
St. Anne's Anglican Church,"270 Gladstone Avenue, Toronto, ON, M6J 3L6",270,Gladstone Avenue,,Toronto,ON,M6J 3L6,18,,,,,1,1,Owned by others,,,
Acacias Rubras Lounge,"252 Lansdowne Avenue, Toronto, ON, M6H 3X9",252,Lansdowne Avenue,,Toronto,ON,M6H 3X9,18,1,,,,,,Owned by others,,,
MacGregor Park/Playground,"346 Lansdowne Avenue, Toronto, ON, M6H 3Y2",346,Lansdowne Avenue,,Toronto,ON,M6H 3Y2,18,1,,,,1,,City Owned,,,
Offthemapgallery,"712 Lansdowne Avenue, Toronto, ON, M6H 3Y8",712,Lansdowne Avenue,,Toronto,ON,M6H 3Y8,18,,1,,,,,Owned by others,,,
Mercer Union,"37 Lisgar Street, Toronto, ON, M6J 3T3",37,Lisgar Street,,Toronto,ON,M6J 3T3,18,,1,,,1,,Owned by others,,,
David Kaye Gallery,"1092 Queen Street West, Toronto, ON, M6J 1H9",1092,Queen Street West,,Toronto,ON,M6J 1H9,18,1,1,,,,,Owned by others,,,
Thrush Holmes Empire,"1093 Queen Street West, Toronto, ON, M6J 1J1",1093,Queen Street West,,Toronto,ON,M6J 1J1,18,,1,,,,,Owned by others,,,
"The Social Bar, Twist Gallery","1100 Queen Street West, Toronto, ON, M6J 1H9",1100,Queen Street West,,Toronto,ON,M6J 1H9,18,1,1,,,,,Owned by others,,,
The Theatre Centre,"1115 Queen Street West, Toronto, ON, M6J 1H8",1115,Queen Street West,,Toronto,ON,M6J 1H8,18,1,,,,,1,City Owned,,,
"The Drake Hotel (Underground, Public Spaces)","1150 Queen Street West, Toronto, ON, M6J 1J3",1150,Queen Street West,,Toronto,ON,M6J 1J3,18,1,1,,,,,Owned by others,,,
Woolfitt's Gallery,"1153 Queen Street West, Toronto, ON, M6J 1J4",1153,Queen Street West,,Toronto,ON,M6J 1J4,18,,1,,,,,Owned by others,,,
Sixty4Steps,"1164 Queen Street West, Toronto, ON, M6J 1J5",1164,Queen Street West,,Toronto,ON,M6J 1J5,18,,1,,,,,Owned by others,,,
Fly Gallery,"1172 Queen Street West, Toronto, ON, M6J 1J5",1172,Queen Street West,,Toronto,ON,M6J 1J5,18,,1,,,,,Owned by others,,,
Akau Inc.,"1186 Queen Street West, Toronto, ON, M6J 1J6",1186,Queen Street West,,Toronto,ON,M6J 1J6,18,,1,,,,,Owned by others,,,
UNIT,"1198 Queen Street West, Toronto, ON, MJ6 1J6",1198,Queen Street West,,Toronto,ON,MJ6 1J6,18,1,,,,,,Owned by others,,,
"Gladstone Hotel (Art Bar, Ballroom, Melody Bar)","1214 Queen Street West, Toronto, ON, M6J 1J6",1214,Queen Street West,,Toronto,ON,M6J 1J6,18,1,1,,,1,1,Owned by others,,,
St Luigi's Catholic School,"2 Ruskin Avenue, Toronto, ON, M6P 3P8",2,Ruskin Avenue,,Toronto,ON,M6P 3P8,18,,,,,1,1,Owned by others,,,
Mary McCormick Recreation Centre,"66 Sheridan Avenue, Toronto, ON, M6K 2G9",66,Sheridan Avenue,,Toronto,ON,M6K 2G9,18,1,,,,1,,City Owned,,,
"Fashion Art Toronto Venue (Warehouse, 213 Sterling Road)","213 Sterling Road, Toronto, ON, M6R 2B2",213,Sterling Road,,Toronto,ON,M6R 2B2,18,1,1,,,,,Owned by others,,,
Somewhere There,"227 Sterling Road, Unit 112, Toronto, ON, M6P 0A1",227,Sterling Road,Unit 112,Toronto,ON,M6P 0A1,18,1,,,,1,,Owned by others,,,
Studio 99 Gallery,"99 Sudbury Street, Toronto, ON, M6J 3S7",99,Sudbury Street,,Toronto,ON,M6J 3S7,18,,1,,,,,Owned by others,,,
Sketch,"180 Sudbury Street, Toronto, ON, M6J 3H2",180,Sudbury Street,,Toronto,ON,M6J 3H2,18,,1,,,,,Owned by others,,,
Debbie Wilson Studios,"87 Wade Avenue, Unit 101, Toronto, ON, M6H 2Z3",87,Wade Avenue,Unit 101,Toronto,ON,M6H 2Z3,18,1,,,,,,Owned by others,,,
Wallace Studios,"258 Wallace Avenue, Toronto, ON, M6H 1V5",258,Wallace Avenue,,Toronto,ON,M6H 1V5,18,,,1,,,,Owned by others,,,
Dovercourt Boys & Girls Club,"180 Westmoreland Avenue, Toronto, ON, M6H 3A2",180,Westmoreland Avenue,,Toronto,ON,M6H 3A2,18,,,,,1,,City Owned,,,
The School of Ritmo Flamenco Studios,"19 Atlantic Avenue, Toronto, ON, M6K 3E7",19,Atlantic Avenue,,Toronto,ON,M6K 3E7,19,1,,,,,,Owned by others,,,
Ritmo Flamenco Dance Studios,"19R Atlantic Avenue, Toronto, ON, M6K 3E7",19R,Atlantic Avenue,,Toronto,ON,M6K 3E7,19,1,,,,,,Owned by others,,,
Queen West Community Health Centre,"168 Bathurst Street, Toronto, ON, M5V 2R4",168,Bathurst Street,,Toronto,ON,M5V 2R4,19,1,,,,1,,Owned by others,,,
"Centre For Social Innovation (CSI), Annex","720 Bathurst Street, Toronto, ON, M5S 2R4",720,Bathurst Street,,Toronto,ON,M5S 2R4,19,1,,,,1,,Owned by others,,,
Fringe Creation Lab,"720 Bathurst Street, 4th Floor, Toronto, ON, M5S 2R4",720,Bathurst Street,4th Floor,Toronto,ON,M5S 2R4,19,1,,,,1,,Owned by others,,,
Randolph Academy for the Performing Arts,"736 Bathurst Street, Toronto, ON, M5S 2R4",736,Bathurst Street,,Toronto,ON,M5S 2R4,19,1,,,,,1,Owned by others,,,
A Different Booklist,"746 Bathurst Street, Toronto, ON, M5S 2R6",746,Bathurst Street,,Toronto,ON,M5S 2R6,19,1,,,,,,Owned by others,,,
St. Nicholas Ukrainian Catholic Church,"4 Bellwoods Avenue, Toronto, ON, M6J 2P4",4,Bellwoods Avenue,,Toronto,ON,M6J 2P4,19,,1,,,1,,Owned by others,,,
Charles Street Video,"65 Bellwoods Avenue, Toronto, ON, M6J 2N4",65,Bellwoods Avenue,,Toronto,ON,M6J 2N4,19,,,1,,,,Owned by others,,,
Museum of New New Painting,"123 Bellwoods Avenue, Toronto, ON, M6J 1W3",123,Bellwoods Avenue,,Toronto,ON,M6J 1W3,19,,1,,,,,Owned by others,,,
Writers' Centre,"627 Bloor Street West, Toronto, ON, M6G 1K4",627,Bloor Street West,,Toronto,ON,M6G 1K4,19,1,,,,,,Owned by others,,,
Clinton's Tavern,"693 Bloor Street West, Toronto, ON, M6G 1L5",693,Bloor Street West,,Toronto,ON,M6G 1L5,19,1,,,,,,Owned by others,,,
Christie Pitts (Park & Fieldhouse),"750 Bloor Street West, Toronto, ON, M6G 3K4",750,Bloor Street West,,Toronto,ON,M6G 3K4,19,1,,,,1,,City Owned,,,
Bickford Centre Theatre,"777 Bloor Street West, Toronto, ON, M6G 1L6",777,Bloor Street West,,Toronto,ON,M6G 1L6,19,1,1,,,,,Owned by others,,,
Saving Gigi's,"859 Bloor Street West, Toronto, ON, M6G 1M5",859,Bloor Street West,,Toronto,ON,M6G 1M5,19,1,1,,,,,Owned by others,,,
Chemagne Dance Studio,"899 Bloor Street West, Toronto, ON, M6H 1L2",899,Bloor Street West,,Toronto,ON,M6H 1L2,19,1,,,,,,Owned by others,,,
Comedy Bar,"945 Bloor Street West, Toronto, ON, M9N 2J5",945,Bloor Street West,,Toronto,ON,M9N 2J5,19,1,,,,,,Owned by others,,,
Liberty Grand,"25 British Columbia Road, Toronto, ON, M6K 3C3",25,British Columbia Road,,Toronto,ON,M6K 3C3,19,,,,,1,1,Owned by others,,,
College Street United Church,"454 College Street, Toronto, ON, M6G 1A1",454,College Street,,Toronto,ON,M6G 1A1,19,,,,,1,1,Owned by others,,,
Andy Poolhall,"489 College Street, Toronto, ON, M6G 1A5",489,College Street,,Toronto,ON,M6G 1A5,19,1,1,,,,1,Owned by others,,,
The Royal,"608 College Street, Toronto, ON, M6G 1A1",608,College Street,,Toronto,ON,M6G 1A1,19,,,1,,,1,Owned by others,,,
The Mod Club Theatre,"722 College Street, Toronto, ON, M6G 1C5",722,College Street,,Toronto,ON,M6G 1C5,19,1,,,,,1,Owned by others,,,
College/Shaw Branch (TPL),"766 College Street, Toronto, ON, M6G 1C4",766,College Street,,Toronto,ON,M6G 1C4,19,1,,,1,1,,City Operated,,,
Revival,"783 College Street, Toronto, ON, M6G 1C5",783,College Street,,Toronto,ON,M6G 1C5,19,1,,,,1,1,Owned by others,,,
Trinity Bellwoods Community Recreation Centre,"155 Crawford Street, Toronto, ON, M2H 2N1",155,Crawford Street,,Toronto,ON,M2H 2N1,19,,,,,1,1,City Owned,,,
Graciosa Community Centre,"279 Dovercourt Road, Toronto, ON, M6J 3C9",279,Dovercourt Road,,Toronto,ON,M6J 3C9,19,,,,,1,,Owned by others,,,
Ballet Creole Studio,"375 Dovercourt Road, Toronto, ON, M6J 3E5",375,Dovercourt Road,,Toronto,ON,M6J 3E5,19,1,,,,1,,Owned by others,,,
Dovercourt House,"805 Dovercourt Road, Toronto, ON, M6H 2X4",805,Dovercourt Road,,Toronto,ON,M6H 2X4,19,1,1,,,1,,Owned by others,,,
Creative Spirit Art Centre,"999 Dovercourt Road, Toronto, ON, M6H 2X7",999,Dovercourt Road,,Toronto,ON,M6H 2X7,19,,1,,,,,Owned by others,,,
Medieval Times,"10 Dufferin Street, Toronto, ON, M6K 3C3",10,Dufferin Street,,Toronto,ON,M6K 3C3,19,1,,,,1,,City Owned,,,
#Hashtag Gallery,"801 Dundas Street West, Toronto, ON, M6J 1V2",801,Dundas Street West,,Toronto,ON,M6J 1V2,19,1,1,,,,,Owned by others,,,
The Magpie Tavern,"831 Dundas Street West, Toronto, ON, M6J 1V4",831,Dundas Street West,,Toronto,ON,M6J 1V4,19,1,,,,,,Owned by others,,,
The Press Club,"850 Dundas Street West, Toronto, ON, M6J1V5",850,Dundas Street West,,Toronto,ON,M6J1V5,19,,1,,,,,Owned by others,,,
Opera Bob's,"1112 Dundas Street West, Toronto, ON, M5A 3A7",1112,Dundas Street West,,Toronto,ON,M5A 3A7,19,,1,,,1,,Owned by others,,,
Cooper Cole,"1161 Dundas Street West, Toronto, ON, M6J 1X3",1161,Dundas Street West,,Toronto,ON,M6J 1X3,19,,1,,,,,Owned by others,,,
Le Gallery,"1183 Dundas Street West, Toronto, ON, M6J 1X3",1183,Dundas Street West,,Toronto,ON,M6J 1X3,19,,1,,,,,Owned by others,,,
The Garrison,"1197 Dundas Street West, Toronto, ON, M6J 1X3",1197,Dundas Street West,,Toronto,ON,M6J 1X3,19,1,,1,,,,Owned by others,,,
Gallery TPW,"1256 Dundas Street West, Toronto, ON, M6J 1X5
",1256,Dundas Street West,,Toronto,ON,"M6J 1X5
",19,1,1,1,,,,Owned by others,,,
Fighting Arts Collective,"927 Dupont Street, Toronto, ON, M6H 1Z1",927,Dupont Street,,Toronto,ON,M6H 1Z1,19,1,,,,,,Owned by others,,,
Danceology Studio,"171 East Liberty Street, Suite 109, Toronto, ON, M6K 3P6",171,East Liberty Street,Suite 109,Toronto,ON,M6K 3P6,19,1,,,,,,Owned by others,,,
The Floor Studio Inc.,"171 East Liberty Street, Suite 136, Toronto, ON, M6K 3P6",171,East Liberty Street,Suite 136,Toronto,ON,M6K 3P6,19,,1,,,,,Owned by others,,,
Fort York National Historic Site (250 Fort York Boulevard),"100 Garrison Road, Toronto, ON, Toronto",100,Garrison Road,,Toronto,ON,Toronto,19,,1,,,,1,City Owned,,,
nanopod: Hybrid Studio,"322 Harbord Street, Toronto, ON, M6G 1H1",322,Harbord Street,,Toronto,ON,M6G 1H1,19,,1,,,,,Owned by others,,,
Molson Amphitheatre,"909 Lake Shore Boulevard West, Toronto, ON, M6K 3L3",909,Lake Shore Boulevard West,,Toronto,ON,M6K 3L3,19,1,,,,,,Owned by others,,,
Ontario Place (Echo Beach),"955 Lake Shore Boulevard West, Toronto, ON, M6K 3B9",955,Lake Shore Boulevard West,,Toronto,ON,M6K 3B9,19,1,,1,,1,,Owned by others,,,
The Church of St. Mary Magdalene,"477 Manning Avenue, Toronto, ON, M6G 2V8",477,Manning Avenue,,Toronto,ON,M6G 2V8,19,1,,,,1,1,Owned by others,,,
Hub 14,"14 Markham Street, Toronto, ON, M6J  2E9",14,Markham Street,,Toronto,ON,M6J  2E9,19,,1,,,,,Owned by others,,,
The Victory Café,"581 Markham Street, Toronto, ON, M6G 2L7",581,Markham Street,,Toronto,ON,M6G 2L7,19,1,,,,1,,Owned by others,,,
Spence Gallery,"600 Markham Street, Toronto, ON, M6G2L8",600,Markham Street,,Toronto,ON,M6G2L8,19,,1,,,,,Owned by others,,,
Tightrope Books Office,"602 Markham Street, Toronto, ON, M6G 2L8",602,Markham Street,,Toronto,ON,M6G 2L8,19,1,,,,,,Owned by others,,,
The Central,"603 Markham Street, Toronto, ON, M6G 2L7",603,Markham Street,,Toronto,ON,M6G 2L7,19,1,1,,,,,Owned by others,,,
Beit Zatoun House,"612 Markham Street, Toronto, ON, M6G 2L8",612,Markham Street,,Toronto,ON,M6G 2L8,19,1,1,1,,1,,Owned by others,,,
As Is Project Space,"347 Montrose Avenue, Toronto, ON, M5G 3G9",347,Montrose Avenue,,Toronto,ON,M5G 3G9,19,,1,,,,,Owned by others,,,
Bob Abate Community Recreation Centre,"485 Montrose Avenue, Toronto, ON, M6G 3K4",485,Montrose Avenue,,Toronto,ON,M6G 3K4,19,1,,,,1,,City Owned,,,
Trash Palace,"89 Niagara Street, B, Toronto, ON, M5V 1C3",89,Niagara Street,B,Toronto,ON,M5V 1C3,19,1,,1,,,1,Owned by others,,,
Diaz Contemporary,"100 Niagara Street, Toronto, ON, M5V 1C5",100,Niagara Street,,Toronto,ON,M5V 1C5,19,1,1,,,,1,Owned by others,,,
The Coffin Factory,"109 Niagara Street, Toronto, ON, M5V 1C3",109,Niagara Street,,Toronto,ON,M5V 1C3,19,,1,,,1,,Owned by others,,,
"2 of 2 Gallery, Pari Nadimi Gallery","254 Niagara Street, Toronto, ON, M6J 2L8",254,Niagara Street,,Toronto,ON,M6J 2L8,19,,1,,,,,Owned by others,,,
InterAccess Electronic Media Arts Centre,"9 Ossington Avenue, Toronto, ON, M6J 2Y8",9,Ossington Avenue,,Toronto,ON,M6J 2Y8,19,,1,1,,,,Owned by others,,,
Sole Gallery,"9 Ossington Avenue, Suite 200, Toronto, ON, M6J 2Y8",9,Ossington Avenue,Suite 200,Toronto,ON,M6J 2Y8,19,1,,,,,,Owned by others,,,
Angell Gallery,"12 Ossington Avenue, Toronto, ON, M6J 2Y7",12,Ossington Avenue,,Toronto,ON,M6J 2Y7,19,,1,,,,1,Owned by others,,,
Lennox Contemporary,"44 Ossington Avenue, Toronto, ON, M6J 2Y9",44,Ossington Avenue,,Toronto,ON,M6J 2Y9,19,,1,,,,,Owned by others,,,
Xpace,"58 Ossington Avenue, Toronto, ON, M6J 2Y9",58,Ossington Avenue,,Toronto,ON,M6J 2Y9,19,,1,,,,,Owned by others,,,
The Ossington (Gallery 61),"61 Ossington Avenue, Toronto, ON, M6J 2Y9",61,Ossington Avenue,,Toronto,ON,M6J 2Y9,19,,1,,,,,Owned by others,,,
Academy of Lions,"64 Ossington Avenue, Toronto, ON, M6J 2Y7",64,Ossington Avenue,,Toronto,ON,M6J 2Y7,19,,,,,1,,Owned by others,,,
AWOL Gallery,"78 Ossington Avenue, Toronto, ON, M6J 2Y7",78,Ossington Avenue,,Toronto,ON,M6J 2Y7,19,1,1,,,,1,Owned by others,,,
Lower Ossington Theatre,"100 Ossington Avenue, Toronto, ON, M6J 2Z4",100,Ossington Avenue,,Toronto,ON,M6J 2Z4,19,1,,,,,,Owned by others,,,
Sport Club Lusitania of Toronto,"103 Ossington Avenue, Toronto, ON, M6J 2Z2",103,Ossington Avenue,,Toronto,ON,M6J 2Z2,19,,,,,1,,Owned by others,,,
Gallery 129,"129 Ossington Avenue, Toronto, ON, M6J 2Z6",129,Ossington Avenue,,Toronto,ON,M6J 2Z6,19,,1,,,,,Owned by others,,,
O'Born Contemporary,"131 Ossington Avenue, Toronto, ON, M6J 2Z6",131,Ossington Avenue,,Toronto,ON,M6J 2Z6,19,1,1,,,,,Owned by others,,,
The Painted Lady,"218 Ossington Avenue, Toronto, ON, M6J2 Z9",218,Ossington Avenue,,Toronto,ON,M6J2 Z9,19,1,,,,,,Owned by others,,,
The Dakota Tavern,"249 Ossington Avenue, Toronto, ON, M6J 3A1",249,Ossington Avenue,,Toronto,ON,M6J 3A1,19,1,,,,,,Owned by others,,,
"Direct Energy Centre (Ricoh Coliseum, National Trade Centre)","100 Princes' Boulevard, Toronto, ON, M6K 3C3",100,Princes' Boulevard,,Toronto,ON,M6K 3C3,19,1,,,,1,1,Owned by others,,,
Queen Elizabeth Theatre,"190 Princes' Boulevard, Toronto, ON, M6K 3C3",190,Princes' Boulevard,,Toronto,ON,M6K 3C3,19,1,,,,,1,Owned by others,,,
The Better Living Centre,"195 Princes' Boulevard, Toronto, ON, M6K 3C3",195,Princes' Boulevard,,Toronto,ON,M6K 3C3,19,1,1,,,1,1,Owned by others,,,
Magic Pony Gallery,"680 Queen Street West, Toronto, ON, M6J 1E3",680,Queen Street West,,Toronto,ON,M6J 1E3,19,,1,,,,,Owned by others,,,
The Raq,"739 Queen Street West, Toronto, ON, M6J 1G1",739,Queen Street West,,Toronto,ON,M6J 1G1,19,1,,,,,,Owned by others,,,
Inspirations Studio,"761 Queen Street West, Suite 201, Toronto, ON, M6J 1G1",761,Queen Street West,Suite 201,Toronto,ON,M6J 1G1,19,,1,,,,,Owned by others,,,
Trinity Bellwood Park (Gorevale Fieldhouse),"790 Queen Street West, Toronto, ON, M6J 1G3",790,Queen Street West,,Toronto,ON,M6J 1G3,19,,,,,1,,City Owned,,,
Gypsy Co-op / The Dog's Bollocks,"817 Queen Street West, Toronto, ON, M4K 3C3",817,Queen Street West,,Toronto,ON,M4K 3C3,19,1,1,,,,,Owned by others,,,
The Toronto Institute for the Enjoyment of Music,"821 Queen Street West, Toronto, ON, M6J 1E9",821,Queen Street West,,Toronto,ON,M6J 1E9,19,1,,,,,,Owned by others,,,
2Q Video,"841 Queen Street West, Toronto, ON, M6J-1G4",841,Queen Street West,,Toronto,ON,M6J-1G4,19,,,1,,,,Owned by others,,,
The Paper Place,"887 Queen Street West, Toronto, ON, M6J 1G5",887,Queen Street West,,Toronto,ON,M6J 1G5,19,,1,,,,,Owned by others,,,
Elaine Fleck Gallery,"888 Queen Street West, Toronto, ON, M6J 1G3",888,Queen Street West,,Toronto,ON,M6J 1G3,19,1,1,,,,,Owned by others,,,
The Devil's Workshop,"890 Queen Street West, Toronto, ON, M6J 3X5",890,Queen Street West,,Toronto,ON,M6J 3X5,19,,1,,,,,Owned by others,,,
"Artscape West Queen West (Garden, Ontario Crafts Council)","900 Queen Street West, Toronto, ON, M6J 1H1",900,Queen Street West,,Toronto,ON,M6J 1H1,19,,1,,,,,Owned by others,,,
Graven Feather,"906 Queen Street West, Toronto, ON, M6J 1G6",906,Queen Street West,,Toronto,ON,M6J 1G6,19,,1,,,,,Owned by others,,,
Clint Roenisch Gallery,"944 Queen Street West, Toronto, ON, M6J 1E9",944,Queen Street West,,Toronto,ON,M6J 1E9,19,,1,,,,,Owned by others,,,
Museum of Contemporary Canadian Art (MOCCA),"952 Queen Street West, Toronto, ON, M6J 1G8",952,Queen Street West,,Toronto,ON,M6J 1G8,19,,1,,,,,Owned by others,,,
Max the Mutt Animation School,"952 Queen Street West, Toronto, ON, M6J 1G8",952,Queen Street West,,Toronto,ON,M6J 1G8,19,,,1,,,,Owned by others,,,
Edward Day Gallery,"952 Queen Street West, Suite 200, Toronto, ON, M5R 2E2",952,Queen Street West,Suite 200,Toronto,ON,M5R 2E2,19,,1,,,,,Owned by others,,,
Zsa Zsa Gallery,"962 Queen Street West, Toronto, ON, M6J 1G8",962,Queen Street West,,Toronto,ON,M6J 1G8,19,,1,,,,,Owned by others,,,
Show Gallery,"978 Queen Street West, Toronto, ON, M6J 1H4",978,Queen Street West,,Toronto,ON,M6J 1H4,19,,1,,,,,Owned by others,,,
Paul Petro Contemporary Art,"980 Queen Street West, Toronto, ON, M6J 1H1",980,Queen Street West,,Toronto,ON,M6J 1H1,19,,1,,,,,Owned by others,,,
Propeller Centre for the Visual Arts,"984 Queen Street West, Toronto, ON, M6J 1H4",984,Queen Street West,,Toronto,ON,M6J 1H4,19,,1,,,,,Owned by others,,,
Ontario Crafts Council Gallery,"990 Queen Street West, Toronto, ON, M6J 1H1",990,Queen Street West,,Toronto,ON,M6J 1H1,19,,1,,,,,Owned by others,,,
